Movie Name,Director,Release Date,Running Time,Country,Language,IMDB Rating,Genre,Number of votes
The Shawshank Redemption,Frank Darabont,14 October 1994 (USA),2h 22min,USA,English,9.3,Drama,"2,160,945"
The Godfather,Francis Ford Coppola,24 March 1972 (USA),2h 55min,USA,English,9.2,Crime,"1,483,111"
The Godfather: Part II,Francis Ford Coppola,20 December 1974 (USA),3h 22min,USA,English,9.0,Crime,"1,032,741"
The Dark Knight,Christopher Nolan,18 July 2008 (USA),2h 32min,USA,English,9.0,Action,"2,135,831"
12 Angry Men,Sidney Lumet,10 April 1957 (USA),1h 36min,USA,English,8.9,Drama,"618,051"
Schindler's List,Steven Spielberg,4 February 1994 (USA),3h 15min,USA,English,8.9,Biography,"1,120,938"
The Lord of the Rings: The Return of the King,Peter Jackson,17 December 2003 (USA),3h 21min,New Zealand,English,8.9,Adventure,"1,534,424"
Pulp Fiction,Quentin Tarantino,14 October 1994 (USA),2h 34min,USA,English,8.9,Crime,"1,696,169"
"The Good, the Bad and the Ugly",Sergio Leone,29 December 1967 (USA),2h 58min,Italian,See more,8.8,Western,"641,284"
Fight Club,David Fincher,15 October 1999 (USA),2h 19min,USA,English,8.8,Drama,"1,726,399"
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,19 December 2001 (USA),2h 58min,New Zealand,English,8.8,Adventure,"1,549,697"
Forrest Gump,Robert Zemeckis,6 July 1994 (USA),2h 22min,USA,English,8.8,Drama,"1,663,667"
Inception,Christopher Nolan,16 July 2010 (USA),2h 28min,USA,English,8.8,Action,"1,894,013"
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,20 June 1980 (USA),2h 4min,USA,English,8.7,Action,"1,079,399"
The Lord of the Rings: The Two Towers,Peter Jackson,18 December 2002 (USA),2h 59min,New Zealand,English,8.7,Adventure,"1,387,944"
The Matrix,Lana Wachowski,31 March 1999 (USA),2h 16min,USA,English,8.7,Action,"1,555,265"
Joker,Todd Phillips,4 October 2019 (USA),2h 2min,USA,English,8.8,Crime,"477,203"
One Flew Over the Cuckoo's Nest,Milos Forman,19 November 1975 (USA),2h 13min,English,See more,8.7,Drama,"853,219"
Goodfellas,Martin Scorsese,21 September 1990 (USA),2h 26min,USA,English,8.7,Biography,"934,314"
Seven Samurai,Akira Kurosawa,19 November 1956 (USA),3h 27min,Japanese,See more,8.6,Action,"292,412"
Se7en,David Fincher,22 September 1995 (USA),2h 7min,USA,English,8.6,Crime,"1,328,188"
City of God,Fernando Meirelles,13 February 2004 (USA),2h 10min,Brazil,Portuguese,8.6,Crime,"659,589"
Life Is Beautiful,Roberto Benigni,12 February 1999 (USA),1h 56min,Italy,Italian,8.6,Comedy,"571,116"
The Silence of the Lambs,Jonathan Demme,14 February 1991 (USA),1h 58min,USA,English,8.6,Crime,"1,170,490"
It's a Wonderful Life,Frank Capra,7 January 1947 (USA),2h 10min,English,See more,8.6,Drama,"366,954"
Star Wars: Episode IV - A New Hope,George Lucas,25 May 1977 (USA),2h 1min,USA,English,8.6,Action,"1,147,943"
Saving Private Ryan,Steven Spielberg,24 July 1998 (USA),2h 49min,USA,English,8.6,Drama,"1,144,411"
Spirited Away,Hayao Miyazaki,28 March 2003 (USA),2h 5min,Japan,Japanese,8.6,Animation,"577,425"
The Green Mile,Frank Darabont,10 December 1999 (USA),3h 9min,USA,English,8.6,Crime,"1,050,866"
Léon: The Professional,Luc Besson,18 November 1994 (USA),1h 50min,English,See more,8.5,Action,"955,913"
Interstellar,Christopher Nolan,7 November 2014 (USA),2h 49min,USA,English,8.6,Adventure,"1,349,191"
The Usual Suspects,Bryan Singer,15 September 1995 (USA),1h 46min,USA,English,8.5,Crime,"928,965"
Harakiri,Masaki Kobayashi,4 August 1964 (USA),2h 13min,Japanese,See more,8.7,Drama,"27,950"
The Lion King,Roger Allers,24 June 1994 (USA),1h 28min,USA,English,8.5,Animation,"872,369"
American History X,Tony Kaye,20 November 1998 (USA),1h 59min,USA,English,8.5,Drama,"974,379"
Parasite,Bong Joon Ho,8 November 2019 (USA),2h 12min,South Korea,Korean,8.6,Comedy,"77,415"
Back to the Future,Robert Zemeckis,3 July 1985 (USA),1h 56min,USA,English,8.5,Adventure,"966,101"
The Pianist,Roman Polanski,28 March 2003 (USA),2h 30min,UK,English,8.5,Biography,"665,654"
Terminator 2: Judgment Day,James Cameron,3 July 1991 (USA),2h 17min,USA,English,8.5,Action,"935,517"
Modern Times,Charles Chaplin,25 February 1936 (USA),1h 27min,English,See more,8.5,Comedy,"198,138"
Psycho,Alfred Hitchcock,8 September 1960 (USA),1h 49min,English,See more,8.5,Horror,"555,607"
The Intouchables,Olivier Nakache,2 November 2011 (France),1h 52min,France,French,8.5,Biography,"698,816"
Gladiator,Ridley Scott,5 May 2000 (USA),2h 35min,USA,English,8.5,Action,"1,247,439"
City Lights,Charles Chaplin,7 March 1931 (USA),1h 27min,English,See more,8.5,Comedy,"152,837"
The Departed,Martin Scorsese,6 October 2006 (USA),2h 31min,USA,English,8.5,Crime,"1,104,649"
Whiplash,Damien Chazelle,15 October 2014 (Philippines),1h 46min,USA,English,8.5,Drama,"642,365"
Once Upon a Time in the West,Sergio Leone,4 July 1969 (USA),2h 45min,Italian,See more,8.5,Western,"279,443"
The Prestige,Christopher Nolan,20 October 2006 (USA),2h 10min,English,See more,8.5,Drama,"1,095,870"
Casablanca,Michael Curtiz,23 January 1943 (USA),1h 42min,USA,English,8.5,Drama,"488,015"
Grave of the Fireflies,Isao Takahata,26 July 1989 (USA),1h 29min,Japanese,See more,8.5,Animation,"206,174"
Rear Window,Alfred Hitchcock,September 1954 (USA),1h 52min,English,See more,8.4,Mystery,"410,740"
Cinema Paradiso,Giuseppe Tornatore,23 February 1990 (USA),2h 35min,Italy,Italian,8.5,Drama,"208,695"
Alien,Ridley Scott,22 June 1979 (USA),1h 57min,UK,English,8.4,Horror,"734,014"
Raiders of the Lost Ark,Steven Spielberg,12 June 1981 (USA),1h 55min,USA,English,8.4,Action,"831,142"
Avengers: Endgame,Anthony Russo,26 April 2019 (USA),3h 1min,USA,English,8.5,Action,"605,130"
Memento,Christopher Nolan,25 May 2001 (USA),1h 53min,USA,English,8.4,Mystery,"1,053,346"
Apocalypse Now,Francis Ford Coppola,15 August 1979 (USA),2h 27min,USA,English,8.4,Drama,"563,606"
The Great Dictator,Charles Chaplin,7 March 1941 (USA),2h 5min,English,See more,8.5,Comedy,"186,754"
The Lives of Others,Florian Henckel von Donnersmarck,30 March 2007 (USA),2h 17min,Germany,German,8.4,Drama,"332,017"
Django Unchained,Quentin Tarantino,25 December 2012 (USA),2h 45min,USA,English,8.4,Drama,"1,250,062"
Avengers: Infinity War,Anthony Russo,27 April 2018 (USA),2h 29min,USA,English,8.5,Action,"726,093"
The Shining,Stanley Kubrick,13 June 1980 (USA),2h 26min,UK,English,8.4,Drama,"816,543"
Paths of Glory,Stanley Kubrick,November 1957 (West Germany),1h 28min,English,See more,8.4,Drama,"161,944"
Spider-Man: Into the Spider-Verse,Bob Persichetti,14 December 2018 (USA),1h 57min,USA,English,8.4,Animation,"276,420"
WALL·E,Andrew Stanton,27 June 2008 (USA),1h 38min,USA,English,8.4,Animation,"931,857"
Sunset Blvd.,Billy Wilder,29 September 1950 (Australia),1h 50min,English,See more,8.4,Drama,"184,910"
Princess Mononoke,Hayao Miyazaki,19 December 1997 (USA),2h 14min,Japan,Japanese,8.4,Animation,"304,345"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,29 January 1964 (USA),1h 35min,English,See more,8.4,Comedy,"424,173"
Oldeuboi,Chan-wook Park,21 November 2003 (South Korea),2h,South Korea,Korean,8.4,Action,"472,768"
Witness for the Prosecution,Billy Wilder,6 February 1958 (USA),1h 56min,English,See more,8.4,Crime,"96,454"
The Dark Knight Rises,Christopher Nolan,20 July 2012 (USA),2h 44min,UK,English,8.4,Action,"1,422,224"
Once Upon a Time in America,Sergio Leone,1 June 1984 (USA),3h 49min,English,See more,8.4,Crime,"286,087"
Aliens,James Cameron,18 July 1986 (USA),2h 17min,USA,English,8.4,Action,"614,633"
American Beauty,Sam Mendes,1 October 1999 (USA),2h 2min,USA,English,8.3,Drama,"1,009,839"
Your Name.,Makoto Shinkai,7 April 2017 (USA),1h 46min,Japan,Japanese,8.4,Animation,"148,677"
Coco,Lee Unkrich,22 November 2017 (USA),1h 45min,USA,English,8.4,Animation,"306,219"
Braveheart,Mel Gibson,24 May 1995 (USA),2h 58min,USA,English,8.3,Biography,"909,351"
